LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
JWYXF5M2YB,27.0,89563,75083,739,43,4,15.49,48,0.83,Master's,Part-time,Married,No,No,Home,Yes,0
OBKSUATB54,26.0,36816,154108,548,38,2,7.24,36,0.52,PhD,Part-time,Single,No,Yes,Auto,Yes,0
GECKFU4DO4,25.0,91017,190712,797,54,4,6.96,12,0.2,PhD,Unemployed,Divorced,No,Yes,Business,No,1
UJFUIHJLNJ,45.0,56919,224056,574,42,2,10.62,36,0.22,Bachelor's,Full-time,Single,No,No,Business,No,0
Q2PC29JMP1,57.0,84145,110327,782,109,3,22.93,48,0.59,PhD,Full-time,Married,No,Yes,Home,No,0
VTWNY70AZI,58.0,101682,115361,323,118,2,5.6,24,0.42,High School,Part-time,Divorced,Yes,Yes,Education,Yes,0
AH3YFNP8AS,27.0,27041,179194,565,76,3,4.43,24,0.39,Master's,Self-employed,Divorced,No,Yes,Education,Yes,0
3ZGTRZ3LBR,46.0,19972,121990,770,80,4,20.08,36,0.32,High School,Full-time,Single,No,Yes,Education,No,1
P07JT4S9FC,35.0,102430,44276,800,80,4,17.16,60,0.64,High School,Self-employed,Married,No,Yes,Home,Yes,0
QKQ3YYYQN6,38.0,121839,184893,322,111,4,11.2,48,0.11,Bachelor's,Full-time,Single,No,No,Other,Yes,0
4XYDQUDL6H,26.0,25058,142918,631,39,4,24.14,12,0.78,PhD,Unemployed,Single,Yes,Yes,Education,No,1
YT6F5DRXKW,59.0,40998,208130,806,53,1,18.9,24,0.62,High School,Part-time,Divorced,No,Yes,Education,No,0
D50H79N91D,61.0,46300,119331,369,112,3,22.38,12,0.78,PhD,Unemployed,Divorced,No,No,Home,Yes,0
2YCXVT6DL2,60.0,102224,83684,715,18,1,15.22,36,0.37,Bachelor's,Part-time,Married,No,Yes,Other,No,0
6899LUTL6N,24.0,43615,209463,395,89,3,23.89,60,0.5,Bachelor's,Self-employed,Divorced,No,Yes,Education,No,0
T58ZIRAPYH,41.0,71046,166900,407,54,1,20.18,36,0.48,Bachelor's,Self-employed,Married,No,Yes,Other,Yes,0
052GU88PXE,60.0,60798,124903,521,65,4,21.77,12,0.24,Bachelor's,Part-time,Married,No,No,Auto,Yes,0
JO6PFYBQ9W,56.0,24244,148729,649,11,3,2.57,36,0.38,Master's,Part-time,Married,No,No,Home,Yes,0
87AMJOV1VJ,53.0,58646,43033,848,102,2,3.97,60,0.52,Master's,Unemployed,Divorced,No,Yes,Home,Yes,0
TMFCVRVMWI,29.0,109437,226207,465,93,4,23.65,48,0.48,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,Yes,1
4D4J63DWA2,37.0,139222,247648,544,110,3,13.32,60,0.73,PhD,Unemployed,Divorced,Yes,Yes,Business,No,0
19RPUNWZYH,28.0,39771,172687,415,101,4,9.85,60,0.2,Master's,Full-time,Married,No,Yes,Business,Yes,0
YG9HVV1XBY,66.0,78448,71096,595,72,2,14.62,48,0.81,High School,Self-employed,Divorced,Yes,Yes,Home,Yes,0
JSM8MKD0E4,63.0,63947,61762,384,89,3,11.71,60,0.13,PhD,Full-time,Single,No,Yes,Other,No,0
74E90ZYMCM,20.0,115363,222486,844,114,1,2.59,36,0.56,High School,Unemployed,Single,No,No,Education,No,0
YC9PWMPKLC,56.0,19679,73629,346,86,1,5.03,60,0.7,Master's,Part-time,Married,Yes,Yes,Auto,Yes,0
JA7TZOTDR6,24.0,45625,247773,333,65,4,22.52,60,0.11,High School,Full-time,Single,Yes,Yes,Other,No,0
6DGQ6KW6UP,57.0,93776,96586,710,67,4,10.6,24,0.85,PhD,Unemployed,Married,Yes,Yes,Education,Yes,0
EMYX5T26UQ,52.0,135811,226399,398,82,4,4.23,60,0.47,PhD,Part-time,Divorced,No,Yes,Auto,Yes,0
A29P1WEZAJ,61.0,113615,179437,750,38,3,6.93,24,0.42,PhD,Part-time,Divorced,No,No,Other,Yes,0
RK4NAVRYSS,54.0,121484,82582,762,67,1,15.03,48,0.67,PhD,Full-time,Married,No,No,Auto,No,0
22W9VMYZ91,58.0,26603,232438,591,4,4,3.28,24,0.33,High School,Part-time,Single,No,No,Auto,Yes,0
R4OWTT02WC,66.0,127912,14289,820,56,1,2.35,12,0.4,High School,Unemployed,Divorced,Yes,Yes,Other,Yes,0
OR0GZWKRU8,38.0,135727,150516,656,62,1,2.32,36,0.41,Master's,Unemployed,Divorced,Yes,No,Other,Yes,0
740L04EX20,20.0,38650,84839,618,31,3,4.59,12,0.36,Bachelor's,Part-time,Married,Yes,No,Business,No,0
D6OW3NJDO0,51.0,44672,221417,835,65,2,11.8,60,0.17,Master's,Self-employed,Single,No,No,Business,Yes,0
T4E32793QH,52.0,55831,238512,722,33,3,11.96,36,0.55,High School,Unemployed,Divorced,Yes,Yes,Auto,No,0
DY5A0JIYV2,32.0,137888,235911,602,54,2,21.32,36,0.39,PhD,Self-employed,Single,Yes,Yes,Education,No,0
D6U24YP80A,39.0,83451,49154,397,110,4,12.96,12,0.72,PhD,Unemployed,Divorced,No,Yes,Education,No,0
7UTT07ZULO,51.0,106647,15436,528,15,1,7.14,12,0.52,High School,Part-time,Single,No,Yes,Auto,No,0
0L4CE1WJ7G,30.0,50488,193939,744,39,2,12.15,24,0.78,PhD,Unemployed,Single,No,Yes,Education,No,0
0CHU9AKS2Y,29.0,89358,163269,784,115,4,4.52,48,0.22,Master's,Part-time,Single,No,No,Education,No,0
EI3VC9ITDN,67.0,67780,249960,343,20,2,5.44,24,0.67,PhD,Self-employed,Single,Yes,Yes,Auto,Yes,0
3HZT2DDZYS,59.0,30048,95282,337,24,1,7.62,60,0.86,PhD,Unemployed,Married,Yes,No,Other,No,0
TCR9999LTN,31.0,140766,177748,531,92,4,11.87,36,0.72,High School,Full-time,Married,No,Yes,Auto,Yes,0
7YYBQWHDMT,29.0,31725,107328,450,50,3,16.93,36,0.43,PhD,Self-employed,Single,No,Yes,Auto,No,0
63EA3BJPOB,61.0,42530,229629,528,48,1,10.84,48,0.64,Master's,Self-employed,Married,Yes,Yes,Auto,Yes,1
UV9287TT1K,50.0,84062,38260,533,44,1,23.69,12,0.31,PhD,Full-time,Single,No,No,Education,No,0
SZOIWE2DKW,40.0,23625,229833,693,94,3,13.03,12,0.6,Bachelor's,Unemployed,Single,Yes,Yes,Education,Yes,0
0X0MLRTAYQ,44.0,28509,247704,832,98,2,7.62,36,0.85,Master's,Self-employed,Divorced,No,Yes,Other,No,0
9ZCW0WPHH7,57.0,142714,146768,483,40,1,15.93,12,0.65,PhD,Full-time,Married,No,No,Education,Yes,0
3CA45WTICQ,67.0,123337,79516,560,14,1,15.11,24,0.51,High School,Full-time,Divorced,Yes,No,Education,No,0
BPZBIUOAUW,63.0,110746,62905,512,82,2,24.9,24,0.39,Bachelor's,Full-time,Married,Yes,No,Education,No,0
MX501U1RFE,62.0,139143,124222,618,86,1,23.17,48,0.8,Master's,Unemployed,Divorced,Yes,Yes,Education,Yes,0
0G0BQ7O7N0,68.0,40957,160550,458,46,4,23.26,48,0.86,Master's,Full-time,Married,No,No,Education,Yes,1
3M8H1APCG9,34.0,56808,42218,516,91,1,14.49,12,0.9,Master's,Full-time,Single,No,No,Auto,No,1
XMC7Z3NRL6,45.0,45013,90245,496,47,1,19.23,24,0.71,High School,Self-employed,Divorced,Yes,Yes,Business,No,0
3GEZ8UHIPG,38.0,134924,136569,711,102,1,16.73,24,0.66,Master's,Part-time,Married,No,Yes,Education,No,1
QRQJMINQDU,47.0,68189,218181,774,65,2,10.54,24,0.38,Bachelor's,Self-employed,Single,No,No,Education,Yes,0
Z5FYA0XR0E,60.0,24006,140533,714,99,2,3.35,12,0.63,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,0
AEFX807CPN,44.0,98678,93338,708,12,3,10.36,48,0.66,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,Yes,1
0FEE7NMOOD,37.0,77974,24207,588,95,2,10.15,24,0.59,Bachelor's,Part-time,Single,No,Yes,Education,Yes,0
M9CLPCV98V,29.0,30579,233904,459,100,4,7.4,12,0.38,Bachelor's,Unemployed,Married,Yes,No,Home,No,0
MMXAKZTVCU,65.0,146968,232188,305,67,1,20.08,36,0.25,Master's,Part-time,Single,No,Yes,Other,No,0
0MEGO4DATD,31.0,66804,44110,374,113,1,7.48,36,0.87,High School,Part-time,Divorced,Yes,No,Education,No,0
Y4JNNNUVU5,39.0,78760,158124,847,7,1,5.54,12,0.44,Master's,Self-employed,Single,Yes,Yes,Education,No,0
1997SJCTJ6,34.0,118163,214327,362,105,3,3.93,60,0.85,High School,Part-time,Single,No,No,Education,Yes,0
K0F3HYX6HH,18.0,120838,24473,323,15,4,7.55,48,0.69,Bachelor's,Unemployed,Married,No,Yes,Home,No,0
31JSINWRJ1,18.0,24783,69223,511,32,2,2.74,48,0.67,Master's,Full-time,Divorced,Yes,Yes,Auto,Yes,0
GHE7LTXFCI,57.0,102272,10968,406,0,2,11.01,24,0.41,Bachelor's,Self-employed,Single,No,Yes,Home,No,0
MFU98BAN7L,36.0,91559,219574,557,86,1,15.52,12,0.89,Master's,Full-time,Single,Yes,Yes,Home,No,0
KDZU84KP7E,55.0,144674,151149,334,6,4,19.42,36,0.78,Master's,Unemployed,Single,Yes,Yes,Business,No,0
IQIW2X2Y88,57.0,69162,72389,717,3,3,6.37,36,0.15,Master's,Full-time,Single,No,Yes,Other,No,0
T8UPU9IGL1,36.0,104968,126043,784,75,1,5.69,24,0.8,High School,Full-time,Single,No,Yes,Home,No,0
4IB3XCY8B9,30.0,49817,231723,628,39,1,22.8,48,0.13,PhD,Part-time,Single,No,Yes,Business,No,0
HJTFNQ9H2O,49.0,94715,83047,775,81,2,11.74,48,0.29,PhD,Full-time,Divorced,No,No,Auto,No,0
CB2W5CPULU,51.0,129514,136424,590,35,2,9.69,12,0.46,High School,Self-employed,Divorced,No,No,Other,Yes,0
LTS61Q28T9,55.0,23084,39597,587,64,2,15.86,48,0.38,Bachelor's,Part-time,Divorced,No,Yes,Home,Yes,0
59012NAT65,53.0,130220,212211,797,53,4,15.28,48,0.23,Bachelor's,Unemployed,Divorced,Yes,No,Home,No,0
U9NPS0WQV7,47.0,43261,145286,723,48,4,10.15,36,0.43,Master's,Self-employed,Divorced,No,No,Education,No,0
PY4B72TLTR,33.0,65723,5281,829,82,1,22.26,36,0.25,Master's,Part-time,Divorced,No,No,Auto,Yes,0
O65KB3UGCZ,48.0,111364,224945,350,8,3,13.8,24,0.63,High School,Self-employed,Single,No,Yes,Business,Yes,0
6I7Y2FVB73,51.0,118401,8687,841,115,2,10.34,60,0.14,Master's,Part-time,Married,No,Yes,Business,Yes,0
GX68AGIKB0,39.0,148822,80528,839,39,2,17.61,36,0.53,Bachelor's,Part-time,Married,No,No,Business,Yes,0
EBT7LP8N3A,25.0,43072,61035,543,24,2,16.99,12,0.31,Master's,Self-employed,Married,Yes,No,Business,Yes,0
KWUQPNCSMV,68.0,47411,23877,566,79,1,16.92,60,0.6,Master's,Part-time,Single,No,No,Home,Yes,0
9P4JTS1LAY,34.0,41317,95035,379,31,1,24.91,36,0.26,Master's,Part-time,Single,Yes,No,Auto,No,0
L6JIQGCSBX,20.0,68501,169903,807,77,1,20.32,36,0.11,PhD,Unemployed,Married,Yes,No,Other,No,0
KVVRUQC9EF,61.0,80725,114915,613,86,3,9.21,48,0.18,Bachelor's,Unemployed,Single,Yes,Yes,Home,Yes,0
XNVE8CD46Y,56.0,20736,116387,353,12,3,13.91,48,0.36,High School,Full-time,Single,Yes,No,Business,Yes,1
JZ43B7L0VL,26.0,96495,162101,720,76,1,23.14,12,0.21,Bachelor's,Full-time,Single,Yes,No,Home,Yes,0
YZECY7LH88,47.0,41405,88840,397,89,3,10.8,24,0.2,High School,Unemployed,Single,No,Yes,Other,No,0
TEKOQ8XM7Z,24.0,61416,110569,494,85,1,4.18,12,0.85,Bachelor's,Unemployed,Divorced,No,No,Auto,Yes,0
H2I6F43UJ6,28.0,15152,233780,411,68,4,4.61,24,0.12,High School,Unemployed,Divorced,No,Yes,Education,Yes,1
HBDTT99XUG,31.0,122660,55743,574,18,4,14.98,48,0.78,Master's,Part-time,Married,Yes,Yes,Auto,Yes,0
15TU7PVADE,19.0,124825,91951,376,47,1,12.85,48,0.47,Bachelor's,Unemployed,Divorced,No,Yes,Business,Yes,0
J92L6O021K,58.0,87991,85008,408,59,4,8.01,36,0.21,Master's,Self-employed,Single,Yes,No,Education,No,0
TO57DI9OLJ,41.0,89108,30636,516,115,2,8.11,60,0.64,Master's,Unemployed,Married,No,Yes,Auto,No,0
281WK331OA,42.0,35528,115375,635,65,4,23.61,12,0.71,Master's,Part-time,Single,No,No,Education,Yes,0
RP9IV4Y50V,33.0,90654,246380,592,20,1,2.36,48,0.57,High School,Full-time,Single,No,No,Auto,Yes,0
P3L1UJ3GJT,30.0,30212,208809,441,109,2,5.97,12,0.42,High School,Self-employed,Divorced,No,No,Auto,Yes,0
MHC1N2W65W,19.0,144727,189377,720,102,1,11.17,48,0.21,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,No,1
I3WN1L9GX1,36.0,104584,107275,474,25,2,13.6,48,0.12,High School,Full-time,Married,Yes,Yes,Auto,Yes,0
D2KTLAQVGB,18.0,135662,38651,428,44,3,10.61,48,0.15,Master's,Full-time,Divorced,No,No,Auto,Yes,0
UJKTKIQAX3,34.0,147450,216158,805,38,4,23.18,60,0.65,Bachelor's,Part-time,Divorced,Yes,Yes,Other,No,0
VR7YH6CJYR,28.0,27298,127715,650,34,2,8.98,24,0.54,Master's,Unemployed,Single,Yes,No,Home,No,0
JK4H9SK3FL,23.0,114143,195112,809,88,1,22.9,24,0.81,PhD,Self-employed,Married,Yes,Yes,Other,Yes,0
5PRL08B5CS,25.0,32015,206771,799,106,2,8.9,36,0.41,Bachelor's,Unemployed,Divorced,No,Yes,Auto,No,0
RLECX6WL7C,60.0,97432,174941,752,110,4,6.07,24,0.17,Master's,Unemployed,Divorced,No,No,Auto,No,0
X8OUI0T385,62.0,25811,219742,521,94,3,12.45,60,0.58,High School,Part-time,Single,No,Yes,Other,Yes,0
W6A1VIYYEG,44.0,72198,14366,352,9,2,11.7,12,0.69,PhD,Self-employed,Single,Yes,No,Other,Yes,0
VD4IA68DJ4,37.0,106825,205956,637,28,4,17.21,60,0.39,Master's,Full-time,Single,Yes,Yes,Education,Yes,0
JT0V0CF2EB,32.0,18251,37314,423,75,4,8.87,12,0.33,Bachelor's,Unemployed,Single,Yes,No,Education,No,1
C2SMCX6PX5,40.0,81808,212261,782,2,1,9.76,60,0.78,High School,Full-time,Married,No,Yes,Business,No,0
29WYWQBXRO,31.0,98856,168269,502,51,4,11.63,12,0.71,Master's,Part-time,Married,No,Yes,Business,No,0
9FUIRYHA74,29.0,132995,137053,434,102,3,8.73,36,0.49,Master's,Unemployed,Married,No,No,Business,Yes,0
7P7XRA553R,54.0,62429,116554,786,77,1,2.63,60,0.26,PhD,Self-employed,Divorced,No,No,Business,No,0
9M9VIGUJQS,50.0,98135,156249,548,90,3,13.92,48,0.23,Bachelor's,Self-employed,Single,No,Yes,Home,No,0
MNFDPS89ZP,37.0,74865,32001,658,54,3,2.3,24,0.84,PhD,Self-employed,Married,No,No,Home,No,0
ZD5X5A08P8,45.0,52527,63786,550,53,3,5.3,60,0.46,High School,Self-employed,Married,No,Yes,Business,No,0
I4L7PGPJOR,42.0,123411,242504,586,67,1,3.5,48,0.36,Bachelor's,Self-employed,Divorced,No,No,Education,No,0
5OVLVYSND6,46.0,85170,220551,680,118,1,17.24,36,0.53,Master's,Self-employed,Divorced,Yes,Yes,Home,No,0
586OTZ80NP,19.0,121455,43589,458,114,1,11.38,12,0.29,Bachelor's,Full-time,Divorced,Yes,No,Other,Yes,0
WSNF84S7IW,26.0,87923,195384,802,98,4,23.53,36,0.79,Master's,Full-time,Single,No,No,Other,Yes,1
OI63UCJH18,67.0,134458,101281,846,35,2,8.27,48,0.69,High School,Part-time,Married,Yes,Yes,Auto,Yes,0
PRICRYH1AF,25.0,83778,70914,456,95,3,6.11,12,0.85,PhD,Part-time,Single,No,No,Auto,Yes,0
SGLGJPNXZI,49.0,19089,133992,566,70,4,23.41,48,0.11,Master's,Self-employed,Divorced,No,No,Other,No,0
H5V4V3YTG3,27.0,57852,25202,615,104,3,22.61,24,0.41,Master's,Full-time,Single,No,Yes,Business,No,0
LLWZ8AVXL3,60.0,33332,247727,562,107,1,6.44,24,0.34,Master's,Unemployed,Single,Yes,No,Home,No,0
WXIEJB9GZS,26.0,20401,98223,492,27,1,20.11,24,0.23,High School,Unemployed,Single,Yes,Yes,Education,No,1
XQZSQHT3T3,35.0,124609,9315,635,3,4,22.2,48,0.85,PhD,Self-employed,Single,No,Yes,Education,No,0
RGQ5IPVT5H,52.0,77940,111863,443,92,1,23.79,60,0.81,High School,Self-employed,Single,Yes,Yes,Home,Yes,0
SWXE3SAUI1,68.0,17161,130079,376,57,4,19.27,24,0.59,Master's,Full-time,Single,Yes,No,Auto,No,0
6QR4JSJ1ON,63.0,103453,165419,376,65,2,8.57,48,0.37,Bachelor's,Part-time,Single,Yes,No,Business,Yes,0
T6FUKSA7ZH,28.0,67345,116535,634,36,1,8.88,24,0.52,Master's,Full-time,Married,No,No,Home,No,0
3LVA8PIBPB,20.0,55366,94120,323,63,2,21.42,36,0.76,Master's,Self-employed,Single,Yes,No,Business,Yes,0
6G51TZR0RF,48.0,56317,7081,654,71,1,18.17,48,0.44,High School,Unemployed,Single,No,No,Home,Yes,0
0WHEBJVUPF,20.0,60558,133601,655,67,3,21.33,48,0.11,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No,0
PO3ZY3Z303,32.0,28893,217841,453,8,1,2.92,12,0.9,High School,Part-time,Single,No,Yes,Home,No,0
TZISSND32I,57.0,18591,185957,580,59,1,6.45,48,0.5,High School,Unemployed,Single,No,No,Home,No,1
L7PTP6XT35,46.0,98853,111643,650,9,2,5.31,48,0.17,Bachelor's,Self-employed,Divorced,No,No,Business,No,0
UDJIIKODNO,54.0,44047,24099,780,118,2,3.69,60,0.79,Bachelor's,Full-time,Divorced,No,Yes,Home,No,0
GEVK7QAJ8X,52.0,64193,94976,762,89,1,24.76,24,0.69,Master's,Self-employed,Divorced,Yes,Yes,Education,No,0
C9CQ94GDBJ,23.0,37628,199425,565,3,2,19.83,60,0.23,Master's,Full-time,Married,No,Yes,Education,Yes,0
GVFJFMQAHU,55.0,28375,241438,336,76,4,8.43,24,0.13,Master's,Unemployed,Married,Yes,No,Other,No,0
59X0S90B8H,40.0,145016,147145,652,106,1,16.42,12,0.76,Master's,Unemployed,Married,Yes,No,Auto,Yes,0
8AOWDPO1ZK,58.0,87814,46448,717,119,3,16.59,60,0.37,High School,Part-time,Single,No,No,Home,No,0
WTILQS9VNP,21.0,143176,225519,637,18,3,3.88,24,0.85,High School,Unemployed,Single,No,No,Business,Yes,0
T0ESUPG4QN,37.0,117758,171809,532,14,1,23.2,36,0.45,Master's,Self-employed,Married,Yes,Yes,Home,Yes,0
H0WZNOOM9S,33.0,58472,141217,764,62,1,12.26,12,0.64,Bachelor's,Part-time,Married,No,Yes,Education,No,0
6UOP5ZKXMX,29.0,107257,103525,798,60,4,22.75,60,0.65,Master's,Unemployed,Married,Yes,No,Education,No,0
XY41FU8CC3,26.0,114361,167993,313,40,1,2.81,24,0.14,Bachelor's,Full-time,Divorced,Yes,Yes,Education,No,0
8OXVPVNYRI,35.0,103490,64451,353,117,1,16.2,48,0.81,Bachelor's,Part-time,Divorced,No,No,Auto,No,0
QGGLU5YMKA,52.0,51105,62622,419,73,2,9.51,36,0.38,Master's,Full-time,Married,Yes,No,Auto,No,0
BW7ZYY9WC3,19.0,134712,160490,585,0,4,5.62,12,0.52,High School,Self-employed,Married,Yes,Yes,Other,No,0
6D8404MDC4,58.0,102641,230759,405,112,3,21.11,24,0.75,Master's,Part-time,Married,Yes,No,Business,Yes,0
8JSOTS63KZ,66.0,76235,244066,479,58,3,12.66,24,0.47,Bachelor's,Self-employed,Divorced,No,Yes,Education,No,0
AK3GCQ97CJ,68.0,145772,208955,706,64,4,24.11,48,0.78,High School,Part-time,Divorced,Yes,No,Education,Yes,1
BNS3LYMRSN,68.0,57279,27113,795,41,4,17.95,12,0.5,Master's,Self-employed,Single,Yes,No,Other,No,0
5GCFXSAWMI,48.0,68352,140123,517,113,3,20.8,12,0.54,High School,Part-time,Single,Yes,Yes,Auto,No,0
O172JJQJSP,45.0,30038,213182,789,40,3,13.72,36,0.72,Master's,Unemployed,Single,Yes,Yes,Other,Yes,1
HTI8762TPF,36.0,131028,56303,699,44,2,24.17,36,0.27,PhD,Self-employed,Divorced,Yes,Yes,Other,No,0
NUG7DV6JFM,44.0,131482,45659,342,10,1,13.77,12,0.79,Master's,Full-time,Married,Yes,Yes,Auto,No,1
15QT921YDL,33.0,116658,76036,405,22,3,12.16,36,0.32,Master's,Full-time,Married,Yes,No,Other,No,0
FZFPN5W2AC,66.0,147731,141442,655,59,3,7.56,36,0.47,Master's,Part-time,Single,Yes,No,Home,Yes,0
3KNKUDNUC2,34.0,98411,249420,408,102,2,3.24,60,0.77,High School,Part-time,Married,Yes,No,Auto,No,0
DUFN6QFJEC,48.0,89567,61369,704,33,4,14.23,60,0.3,Bachelor's,Full-time,Married,Yes,No,Other,Yes,0
02GDBSIJDK,47.0,38647,63255,449,5,3,20.13,24,0.29,PhD,Full-time,Divorced,Yes,Yes,Other,No,1
BZOQ968D4N,50.0,66930,17149,806,74,3,10.94,36,0.88,Bachelor's,Full-time,Divorced,Yes,Yes,Home,No,0
